permit_num,description_hash,construction_type,unit_form,model
19 119800 BLD,bdb2bcaff87706762a6ec630afbf9a5b,basement_units,basement_or_secondary_suite,claude-haiku-4-5
19 147633 BLD,689ddca331a412a28ed2e293deee9080,laneway_garden_suite,standard,claude-haiku-4-5
19 166488 BLD,fc1c43501200d5aff4fa29209c659740,aboveground_units,standard,claude-haiku-4-5
19 177735 BLD,f3bffdd2dfc4cc1a7b4989846b11e2e8,new_building,standard,claude-haiku-4-5
19 182179 BLD,1c5b688549820d4840af37257f177064,laneway_garden_suite,standard,claude-haiku-4-5
19 190624 BLD,c064bc9fe77ecc0450f6decba3443c6f,basement_units,basement_or_secondary_suite,claude-haiku-4-5
19 193862 BLD,c40754c2557adfda2117cb7ae963f2b9,new_building,standard,claude-haiku-4-5
19 197401 BLD,f09098ae1d5aff3d5cd3afac3f9864e5,basement_units,basement_or_secondary_suite,claude-haiku-4-5
19 198018 BLD,10b41cde1f15e3983ef8f6a46f9dd107,new_building,standard,claude-haiku-4-5
19 201797 BLD,a030a69ff74ea9ef49566f2624cdfa27,laneway_garden_suite,standard,claude-haiku-4-5
19 212878 BLD,94b47a80d0010fdcfe976b53feed94c4,basement_units,basement_or_secondary_suite,claude-haiku-4-5
19 221675 BLD,bb41b16d3f7092292a84c87b9dbd7389,laneway_garden_suite,standard,claude-haiku-4-5
19 221978 BLD,e8168c42a74bd5c53fd2873658633736,new_building,basement_or_secondary_suite,claude-haiku-4-5
19 221998 BLD,7cba1e564e4af9d8eb4eefb20d76202f,new_building,basement_or_secondary_suite,claude-haiku-4-5
19 222404 BLD,e218ed779b0dbbe23c12f53024adaebf,laneway_garden_suite,standard,claude-haiku-4-5
19 224490 BLD,056e90fbc074f1512c785705facdd468,new_building,standard,claude-haiku-4-5
19 225241 BLD,ae171768d03dedd005c52a3f5379d97e,laneway_garden_suite,standard,claude-haiku-4-5
19 246658 BLD,63c7ab46d1786ac4752f65c60edb4686,new_building,basement_or_secondary_suite,claude-haiku-4-5
19 255117 BLD,fa67eb47c1f1be07582beb7512bfaee7,laneway_garden_suite,standard,claude-haiku-4-5
19 255708 BLD,0579120a7070c711d3ebc77e9613b5a2,laneway_garden_suite,standard,claude-haiku-4-5
19 259013 BLD,1c9e546ea74d1c3d4a092237664fd356,basement_units,basement_or_secondary_suite,claude-haiku-4-5
19 260922 BLD,dd11c2fba45cc14a6bee6d8a1ac6a14b,new_building,standard,claude-haiku-4-5
20 100316 BLD,1020bd0a8bd1beba4e6eb46f6212a9a4,basement_units,basement_or_secondary_suite,claude-haiku-4-5
20 103275 BLD,7d72c0e87af106e17a9dd6a9d1705458,basement_units,basement_or_secondary_suite,claude-haiku-4-5
20 107505 BLD,2d3cefe9d94785a952e1a8d95b183dac,aboveground_units,standard,claude-haiku-4-5
20 114986 BLD,c07022ed03be64e763a5e2d3eb992fe0,basement_units,basement_or_secondary_suite,claude-haiku-4-5
20 121653 BLD,834f0434b9c68b423725b3abe6bdf6f8,aboveground_units,standard,claude-haiku-4-5
20 121820 BLD,6f97caf63f574e7a2aea0ee41aa7e8e5,basement_units,basement_or_secondary_suite,claude-haiku-4-5
20 123987 BLD,ce6fa1e15d455f1f5f7b972d2f386482,laneway_garden_suite,standard,claude-haiku-4-5
20 149310 BLD,8d137b173aa259be95bd399c5c5ef9d8,basement_units,basement_or_secondary_suite,claude-haiku-4-5
20 163680 BLD,2f8094b7a6fa1addc3b5898956fc95a1,laneway_garden_suite,standard,claude-haiku-4-5
20 170267 BLD,4b6b6fce7fdfe9e24f1225f976929a3d,basement_units,basement_or_secondary_suite,claude-haiku-4-5
20 194540 B05,7ab565e302a9e95cbc324219fc131e91,new_building,basement_or_secondary_suite,claude-haiku-4-5
20 212326 BLD,75f7c07b6be0ae65a6385d4410a7ca0e,unclear,basement_or_secondary_suite,claude-haiku-4-5
20 213825 BLD,0d5ac90c1454297586f45a70a8c99d7f,new_building,standard,claude-haiku-4-5
20 219940 BLD,096a26dc9dc39d97d51609f3bde87a17,laneway_garden_suite,standard,claude-haiku-4-5
20 221073 BLD,324f12dfad2e6582c97ea4521b6ac231,basement_units,basement_or_secondary_suite,claude-haiku-4-5
20 222151 BLD,772c6a0b636ba985ff03a4b80f829f9d,basement_units,standard,claude-haiku-4-5
20 228944 BLD,2c7111e3b4a02ada0d27acd732e79063,basement_units,basement_or_secondary_suite,claude-haiku-4-5
20 233050 BLD,8bd20558d8df02e72c17c7907e5be325,new_building,standard,claude-haiku-4-5
20 233448 BLD,313d5edf168482924431c7f2676f186d,new_building,standard,claude-haiku-4-5
21 104429 BLD,5220cba19f67d81a0c5d1ca6f0bb385a,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 104688 BLD,5e332281f1dc96db58efea1e76660a85,no_unit_change,standard,claude-haiku-4-5
21 106363 BLD,97b3d700e35c6af510aa3724c0e527bf,aboveground_units,standard,claude-haiku-4-5
21 115832 BLD,74f35cfaf2b239838437e44b72cbd910,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 117684 BLD,fcd9d7041f5fe0a235d719e68e957c25,new_building,standard,claude-haiku-4-5
21 118593 BLD,022a206e3e4152702182163dc1d448aa,aboveground_units,standard,claude-haiku-4-5
21 119375 BLD,c61bd1f2ecf0bab814b320a1188a93c7,aboveground_units,basement_or_secondary_suite,claude-haiku-4-5
21 130715 BLD,3fb463bbaae253d694fc27800da69c86,new_building,basement_or_secondary_suite,claude-haiku-4-5
21 130718 BLD,719b456ed1a631fb2fee515280c2cb06,laneway_garden_suite,standard,claude-haiku-4-5
21 132437 BLD,214788af80f03fed938a17fcb121b63f,laneway_garden_suite,standard,claude-haiku-4-5
21 134901 BLD,34af603dd72e13c780f288843146ca20,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 134979 BLD,8b929b29082c33e2a704e8f46287fd11,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 138954 BLD,45c23d22a7df68e3a591ccd92c363ef4,laneway_garden_suite,standard,claude-haiku-4-5
21 146118 BLD,511ae106954e3b340546ae8ef02b0c54,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 148646 BLD,07600eabd17838fbfbc12c1c3af44eff,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 149160 BLD,60a2c36ec5f703633ba8d5273a66fd18,aboveground_units,standard,claude-haiku-4-5
21 153341 BLD,3bc313e87285482a326d2dfaeda98108,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 153646 BLD,eb6b1b18405adffce8d2ee493f3ed88b,laneway_garden_suite,standard,claude-haiku-4-5
21 155447 BLD,f550086bb68741e7fdaeb8464898f62b,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 157975 BLD,85630f6c8ef5584d5b6516259e7001e9,aboveground_units,standard,claude-haiku-4-5
21 162235 BLD,f739bc45dbe6941f9824479d13e4456b,laneway_garden_suite,standard,claude-haiku-4-5
21 164332 BLD,4c73234b8d9925aca29a16d3930b766c,laneway_garden_suite,standard,claude-haiku-4-5
21 170566 BLD,a70d8ceccd3fa4793e06bf0392695dab,laneway_garden_suite,standard,claude-haiku-4-5
21 178719 BLD,050aa83dde9c0042ea174503a011a683,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 178805 BLD,799b2c0a17a75553d572f2299c5691a2,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 180243 BLD,75f59fa242d4b6d112604c23952c4541,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 180364 BLD,9d4014ddf94ab4b16fc08f609faa114c,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 181282 BLD,8944d715501996d0dfd7b7ff20ef7f72,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 182133 BLD,8bda2dba6ce8cce6e684c91ea649530d,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 182364 BLD,cb8a0b93eb45151e1d696d01972d5a17,laneway_garden_suite,standard,claude-haiku-4-5
21 183034 BLD,7a04d3480d0fd132b3a32c24326a9cab,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 188160 BLD,71d79a4fa88b36886986c0a8794f1361,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 189113 BLD,fcdbfdab3f69ec9d614fac465837aa48,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 189412 BLD,c00676a57f479d9b7a83c486d51ffa1f,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 190413 BLD,335a9203948871d97e56192210f50111,no_unit_change,standard,claude-haiku-4-5
21 192758 BLD,e681031faca9ed442a08935221859702,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 192976 BLD,1be4d822c275d280b33359a5ac312265,new_building,basement_or_secondary_suite,claude-haiku-4-5
21 194539 BLD,28e3a376858be0c20289c88aa4cec517,new_building,basement_or_secondary_suite,claude-haiku-4-5
21 194550 BLD,6d3c02b0f6f08c287226e2a98a90402f,laneway_garden_suite,standard,claude-haiku-4-5
21 194580 BLD,b16403877fa7e141df3968b3b1d854b9,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 197559 BLD,37952267e139eb9fd99aec516fbb1d57,laneway_garden_suite,standard,claude-haiku-4-5
21 198259 BLD,ee3e972aa38b9806a7adbc9ec2be578c,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 199432 BLD,c90029c2b062affde762db2177df1bc2,laneway_garden_suite,standard,claude-haiku-4-5
21 201868 BLD,28b1bfc714bd800ac3b0b9d11ace7926,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 202502 BLD,6c839d9a8ba8fc7ddb31f60c4a75c55a,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 203873 BLD,be1fd1383cc8c908f744aae8f0e0dad4,aboveground_units,standard,claude-haiku-4-5
21 204992 BLD,3392a2eb5ac5fd646c848302d65497f5,new_building,basement_or_secondary_suite,claude-haiku-4-5
21 206913 BLD,07da9009732ed627da9c009b59c685fa,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 207383 BLD,6b563e2e5cfe8f9cda7ef665044381d3,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 207643 BLD,7744dd881e6c793dede8f6ddfb1571e5,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 209188 BLD,2909ad4ac84e76b66406eaebe64e7901,laneway_garden_suite,standard,claude-haiku-4-5
21 209347 BLD,23331facf3bba1768a28c0ac01066cb3,aboveground_units,standard,claude-haiku-4-5
21 209353 BLD,2bf1917a8448432ac984c0959cbd9e50,new_building,standard,claude-haiku-4-5
21 209532 BLD,085e999c258cb0b91b573ca51ef02b2a,basement_units,standard,claude-haiku-4-5
21 215845 BLD,18db9f37bdbfeeae759e337255a34843,laneway_garden_suite,standard,claude-haiku-4-5
21 216272 BLD,241a110dcb06a74ee0df8c7307330923,laneway_garden_suite,standard,claude-haiku-4-5
21 216347 BLD,1d37e18cda611c46a06d007a26f277f4,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 216695 BLD,b0bd25667e5b83f9d19b20531c399fdf,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 219881 BLD,c47d7b0ef67b74d98565b4f06a022cdc,laneway_garden_suite,standard,claude-haiku-4-5
21 221862 BLD,3b8bf63b33844609351598db453c6aac,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 224018 BLD,1dba3a80a52baf118a744a311723ac41,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 225274 BLD,898033009bcc1bbb10164ec0a7ec1a9e,new_building,standard,claude-haiku-4-5
21 225433 BLD,f08b38ba8750cdd77704c957c6aa077f,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 229179 BLD,e01d67802b051f3ffea55a0f7304458c,laneway_garden_suite,standard,claude-haiku-4-5
21 229928 BLD,183ac81e97d74938f01ce95ca9a04025,laneway_garden_suite,standard,claude-haiku-4-5
21 235719 BLD,77694e420c8368186cd0815ef639f7cb,aboveground_units,standard,claude-haiku-4-5
21 239037 BLD,20ac4697b0010f0950d3352d056fe7d9,laneway_garden_suite,standard,claude-haiku-4-5
21 239188 BLD,1b3858d9f4ca81244bd080e865b7a3c7,aboveground_units,standard,claude-haiku-4-5
21 239665 BLD,492de9ad0d2ad13dad0ab72a212670b7,new_building,standard,claude-haiku-4-5
21 241409 BLD,c474e886cb0520b93ce1d690153dd614,aboveground_units,standard,claude-haiku-4-5
21 245329 BLD,6e496edd626d83faf0255a1a8c77c57e,basement_units,basement_or_secondary_suite,claude-haiku-4-5
21 250712 BLD,1cdcbe92d0b240b164f6e02b9cfcf6a4,new_building,basement_or_secondary_suite,claude-haiku-4-5
21 252144 BLD,ae422756a3f0ff55e94d81516d3f19fd,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 100019 BLD,01e9b51af552f90cf084d3e113530625,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 100073 BLD,f1160a0a2d9f392ce5bdd62f1dda62ca,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 100111 BLD,9276bbcc4c277bafa308b4392e613922,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 100186 BLD,bd108c520bf407f03c2a150fd43545a6,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 100294 BLD,f252d25ec863965fb402ba866fcf1f51,aboveground_units,standard,claude-haiku-4-5
22 100321 BLD,0b89b09e7967b3ee6c22878c0a484607,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 100326 BLD,50908839445a0e0dff3190d0f58eb7bd,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 100687 BLD,3517f276713ada6141b81cc40b28ee4d,new_building,basement_or_secondary_suite,claude-haiku-4-5
22 100740 BLD,b769b8c9f4dfd43e800397c158c7add4,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 100913 BLD,c6290781d08964bb7948449dd7b218df,basement_units,standard,claude-haiku-4-5
22 101565 BLD,591b150d94d469a9a94ec85bfce6431b,new_building,basement_or_secondary_suite,claude-haiku-4-5
22 101706 BLD,4cf692bd8ee83209b32778fa8613485b,aboveground_units,standard,claude-haiku-4-5
22 102097 BLD,bd9732c2efa7b799dbc4a805002460d1,new_building,basement_or_secondary_suite,claude-haiku-4-5
22 102160 BLD,96fe26db107ce32e24c6205a1a76b0ef,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 102210 BLD,06543a09006ab5893fe7f14c352ba4b8,new_building,standard,claude-haiku-4-5
22 102335 BLD,ca81b3c85ab7c1f111f635a02a100d6d,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 102376 BLD,c0974e8a9a8a1ec280b2b73ad74c9f1b,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 102702 BLD,a4547ba955b690a24abde1f2ca43fe49,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 102899 BLD,4cb54c89d3b7dc282ddc4c7869b437b2,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 102903 BLD,68982cdd5a4927a16078b611663d1463,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 102957 BLD,ba21b1791b7cbdcb6085bf4d174d90c4,laneway_garden_suite,standard,claude-haiku-4-5
22 102981 BLD,b923d203e081ab188ae3c0a1a6f7477c,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 103139 BLD,4dc9408459a32b7a6db4887915e41fd7,laneway_garden_suite,standard,claude-haiku-4-5
22 103447 BLD,d6a63a0da83f3b7c6ac676bc4dece22e,no_unit_change,standard,claude-haiku-4-5
22 103653 BLD,ae10980b52469e83ea48894eb1e6d3b5,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 103729 BLD,d4965857e2ff04ed8e238168732bf987,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 103772 BLD,8c5452e4ba4d1632f629be415a273200,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 103799 BLD,5083e28117e93b4b80b64b685ecb509c,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 104228 BLD,6d7e79a2a853922dac1eb6823036e189,aboveground_units,basement_or_secondary_suite,claude-haiku-4-5
22 104494 BLD,c702134947a9cc51da51d3cfdabce239,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 104853 BLD,5bfde0a0c749693b66950593c2072353,laneway_garden_suite,standard,claude-haiku-4-5
22 104936 BLD,718ce241a324712f57e206393b252ece,new_building,standard,claude-haiku-4-5
22 105022 BLD,156aafabc7fc6df17c3d8ca4d0911bba,basement_units,standard,claude-haiku-4-5
22 105228 BLD,7e5dc819e6a1e8b64f5391d769756a07,laneway_garden_suite,standard,claude-haiku-4-5
22 105328 BLD,89cd31dcfef386ae43fd73d39dc3e4ba,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 105389 BLD,823d33599229ea15553aff623bc945e1,basement_units,standard,claude-haiku-4-5
22 105436 BLD,51a4c9d1a007fb5b1bf5facf23d8af80,aboveground_units,standard,claude-haiku-4-5
22 105448 BLD,692821f717b781ec99bb935fc3995558,new_building,standard,claude-haiku-4-5
22 105452 BLD,d8e575004a81545a8ae76c375b2fdf85,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 105455 BLD,d8e575004a81545a8ae76c375b2fdf85,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 105476 BLD,559966d5141ca29fdccc2391295fd354,new_building,standard,claude-haiku-4-5
22 105531 BLD,79faee4153158a279b4f570f186d453c,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 105711 BLD,7b5f33fa58ee7f09b08d4b82168bc2b5,laneway_garden_suite,standard,claude-haiku-4-5
22 105719 BLD,dd31488e439d4fc7eddc06108348cad8,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 105738 BLD,3e3d0cacbe3c1957ad9a37f24575b1cb,aboveground_units,basement_or_secondary_suite,claude-haiku-4-5
22 105776 BLD,e7f78b92dee04e80a3ed7c00dcd99242,aboveground_units,standard,claude-haiku-4-5
22 105955 BLD,900e085393b3f321fbc62b62cbd21d5e,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 106191 BLD,3c0ede08ce4fa74b6d13238eceeff8cf,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 106223 BLD,4013992c80df130a1e5b8a3646c83e29,new_building,standard,claude-haiku-4-5
22 106258 BLD,f8b3f2afa9338552a4d76ae3ca4f2ea8,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 106321 BLD,1da732f8f0ee85f3f33ec03c27a271ed,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 106815 BLD,4d1897442e32147f7876d06c1fe224fe,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 106823 BLD,d39c59a4b3702e00d89b187911cff9f4,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 106869 BLD,c278e84ce34e5f242cb2c19b4b24f5a8,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 107039 BLD,4ee766250743f05256fd80ada738e111,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 107047 BLD,ffa21f3d8086d6b83868218b50b19f23,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 107295 BLD,62ccfd5aca69e942ef46b9ef533202ac,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 107334 BLD,1ca6f2e52aebaadedfca3457b5285451,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 107509 BLD,ead4d035346e2779125eed46807e9258,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 107892 BLD,9b4325ef303f0feb52d414bfb5ee52ee,basement_units,standard,claude-haiku-4-5
22 107978 BLD,21b983b7d0ff3cfaf100387caf3c83c9,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 108018 BLD,a8e994b38b64c73971b2297f4be7503b,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 108046 BLD,702eb04955c12008d1dce60de3217990,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 108057 BLD,ebc041d583a7507620d9113e475a9cb4,laneway_garden_suite,standard,claude-haiku-4-5
22 108087 BLD,f54b2cd2c69bc9f87dfb760185f7518c,aboveground_units,basement_or_secondary_suite,claude-haiku-4-5
22 108110 BLD,07dd3bacabbe0c42a4adf4d37c453d26,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 108242 BLD,8e53b8c65e38a87fce0786849c3e69bf,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 108455 BLD,c3956a1a183b6db8d3edaeed29a0400e,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 108594 BLD,8cf97399e543da742b05f4a23cafac53,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 109354 BLD,62fc045dd4e44fc179cf4c6207a0dfcc,aboveground_units,basement_or_secondary_suite,claude-haiku-4-5
22 109384 BLD,d8734bcaf4a7721aaa207c024638dc90,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 109548 BLD,b075b791c4010630f751b98a1f7d4c98,laneway_garden_suite,standard,claude-haiku-4-5
22 109933 BLD,f5f90a580db0a55d6e14cf5dcf06ecb6,aboveground_units,standard,claude-haiku-4-5
22 109939 BLD,691a0805850c8e8e432da77fa4f6dffc,aboveground_units,standard,claude-haiku-4-5
22 109992 BLD,8504b86e58747d8be9e6de4109caca85,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 109996 BLD,3f7c395784ee44aa9251d9364f647739,new_building,standard,claude-haiku-4-5
22 110059 BLD,1e0555b27608ce161b45f4e800b66625,basement_units,standard,claude-haiku-4-5
22 110182 BLD,b6700a047941e2586b54f0cb25067bde,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 110336 BLD,753c321565e2d205367b8499ef05112f,aboveground_units,standard,claude-haiku-4-5
22 110341 BLD,e523a923313c2c3e450bbe77f87b168c,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 110412 BLD,d639669a66de59209082baf367730348,no_unit_change,basement_or_secondary_suite,claude-haiku-4-5
22 110463 BLD,ca01c0adf45763838f6f5e9826d8580b,aboveground_units,standard,claude-haiku-4-5
22 110503 BLD,10d40da4006ba363da8102acba9d4002,no_unit_change,standard,claude-haiku-4-5
22 110561 BLD,ca01c0adf45763838f6f5e9826d8580b,aboveground_units,standard,claude-haiku-4-5
22 110604 BLD,4c650259d11e1617f9b6d6ed948073f5,aboveground_units,standard,claude-haiku-4-5
22 110840 BLD,fe091918b2661a9c5263ae0888c50c43,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 111007 BLD,d687c70d3126b1807c9b52d41b30393d,basement_units,standard,claude-haiku-4-5
22 111009 BLD,03bf5607dbd24b6cac9adfedfe5fd206,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 111025 BLD,e80cfd7a0a5beb596be5bdff28cfc165,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 111052 BLD,19c78db0c1af96ed7f4a0517424b7465,laneway_garden_suite,standard,claude-haiku-4-5
22 111053 BLD,0758def82e80251f26058f6f0526394f,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 111393 BLD,16036e64339b03af65e4b10a97fa68a3,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 111426 BLD,2f38f65d1e190e6b042540896307a05a,laneway_garden_suite,standard,claude-haiku-4-5
22 111579 BLD,bf52b3a7c935dab3eaa2544ae26e6d7b,laneway_garden_suite,standard,claude-haiku-4-5
22 111622 BLD,3cef2a116a03b528271f328cb805fbd0,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 111656 BLD,1f44f2b60636c12ac58d1616821b7529,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 111771 BLD,ccc4de06e752ea0800ea4f26e98f74f6,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 111864 BLD,489f2ac841ec0f6ef14e769fc4450498,no_unit_change,basement_or_secondary_suite,claude-haiku-4-5
22 111875 BLD,b331cbfaebae479eebfb0ec343bb8032,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 111904 BLD,521a174e3e47f6b80901aedf80f06dca,aboveground_units,standard,claude-haiku-4-5
22 112184 BLD,e42e7a7b39cd4a30a163dd7d6721ec33,aboveground_units,standard,claude-haiku-4-5
22 112205 BLD,98209d244435756f9c38925224d1b2ad,aboveground_units,standard,claude-haiku-4-5
22 112345 BLD,f5ae62e86bbd64f3574f60d7b95db544,basement_units,basement_or_secondary_suite,claude-haiku-4-5
22 112422 BLD,ca5179992cee6decc4edf397e91170b9,basement_units,basement_or_secondary_suite,claude-haiku-4-5
